,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,HOME,TEAM_PERF,OPP_PERF,TEAM_WINS,TEAM_POINTS,OPPOSITION_POINTS,TEAM_FG,OPP_FG,TEAM_FT,OPP_FT,TEAM_FG3,OPP_FG3,TEAM_AST,OPP_AST,TEAM_REB,OPP_REB,OPP_WINS
0,11,2022-12-21,22200475,Final,1610612758,1610612747,2022,1610612758,134.0,0.505,0.75,0.362,29.0,46.0,1610612747,120.0,0.5,0.833,0.458,25.0,39.0,1,0,120.0,134.0,0,120.0,120.0,0.5,0.505,0.833,0.75,0.458,0.75,25.0,29.0,39.0,46.0,1
1,25,2022-12-19,22200459,Final,1610612756,1610612747,2022,1610612756,130.0,0.495,0.75,0.513,21.0,51.0,1610612747,104.0,0.448,0.824,0.429,13.0,38.0,1,0,104.0,130.0,0,104.0,104.0,0.448,0.495,0.824,0.75,0.429,0.75,13.0,21.0,38.0,51.0,1
2,33,2022-12-18,22200451,Final,1610612747,1610612764,2022,1610612747,119.0,0.5,0.727,0.407,29.0,43.0,1610612764,117.0,0.463,0.792,0.256,24.0,48.0,1,1,119.0,117.0,1,119.0,119.0,0.5,0.463,0.727,0.792,0.407,0.792,29.0,24.0,43.0,48.0,0
3,50,2022-12-16,22200437,Final,1610612747,1610612743,2022,1610612747,126.0,0.527,0.75,0.364,29.0,45.0,1610612743,108.0,0.481,0.75,0.333,25.0,39.0,1,1,126.0,108.0,1,126.0,126.0,0.527,0.481,0.75,0.75,0.364,0.75,29.0,25.0,45.0,39.0,0
4,69,2022-12-13,22200413,Final,1610612747,1610612738,2022,1610612747,118.0,0.473,0.733,0.276,23.0,49.0,1610612738,122.0,0.442,0.688,0.396,27.0,51.0,0,1,118.0,122.0,0,118.0,118.0,0.473,0.442,0.733,0.688,0.276,0.688,23.0,27.0,49.0,51.0,1
5,78,2022-12-11,22200396,Final,1610612765,1610612747,2022,1610612765,117.0,0.462,0.824,0.378,28.0,40.0,1610612747,124.0,0.548,0.778,0.423,31.0,42.0,0,0,124.0,117.0,1,124.0,124.0,0.548,0.462,0.778,0.824,0.423,0.824,31.0,28.0,42.0,40.0,0
6,97,2022-12-09,22200382,Final,1610612755,1610612747,2022,1610612755,133.0,0.533,0.864,0.45,30.0,42.0,1610612747,122.0,0.5,0.767,0.355,29.0,37.0,1,0,122.0,133.0,0,122.0,122.0,0.5,0.533,0.767,0.864,0.355,0.864,29.0,30.0,37.0,42.0,1
7,108,2022-12-07,22200366,Final,1610612761,1610612747,2022,1610612761,126.0,0.443,0.833,0.279,25.0,54.0,1610612747,113.0,0.425,0.914,0.212,16.0,46.0,1,0,113.0,126.0,0,113.0,113.0,0.425,0.443,0.914,0.833,0.212,0.833,16.0,25.0,46.0,54.0,1
8,116,2022-12-06,22200360,Final,1610612739,1610612747,2022,1610612739,116.0,0.516,0.765,0.259,25.0,44.0,1610612747,102.0,0.427,0.833,0.167,16.0,43.0,1,0,102.0,116.0,0,102.0,102.0,0.427,0.516,0.833,0.765,0.167,0.765,16.0,25.0,43.0,44.0,1
9,132,2022-12-04,22200349,Final,1610612764,1610612747,2022,1610612764,119.0,0.467,0.733,0.256,24.0,44.0,1610612747,130.0,0.542,0.727,0.385,34.0,51.0,0,0,130.0,119.0,1,130.0,130.0,0.542,0.467,0.727,0.733,0.385,0.733,34.0,24.0,51.0,44.0,0
10,147,2022-12-02,22200331,Final,1610612749,1610612747,2022,1610612749,129.0,0.532,0.8,0.395,29.0,42.0,1610612747,133.0,0.542,0.75,0.423,32.0,44.0,0,0,133.0,129.0,1,133.0,133.0,0.542,0.532,0.75,0.8,0.423,0.8,32.0,29.0,44.0,42.0,0
11,166,2022-11-30,22200324,Final,1610612747,1610612757,2022,1610612747,128.0,0.495,0.692,0.378,28.0,48.0,1610612757,109.0,0.467,0.81,0.333,21.0,45.0,1,1,128.0,109.0,1,128.0,128.0,0.495,0.467,0.692,0.81,0.378,0.81,28.0,21.0,48.0,45.0,0
12,179,2022-11-28,22200308,Final,1610612747,1610612754,2022,1610612747,115.0,0.43,0.774,0.355,23.0,57.0,1610612754,116.0,0.41,0.813,0.347,29.0,49.0,0,1,115.0,116.0,0,115.0,115.0,0.43,0.41,0.774,0.813,0.355,0.813,23.0,29.0,57.0,49.0,1
13,191,2022-11-26,22200288,Final,1610612759,1610612747,2022,1610612759,138.0,0.505,0.7,0.486,33.0,47.0,1610612747,143.0,0.58,0.865,0.515,25.0,39.0,0,0,143.0,138.0,1,143.0,143.0,0.58,0.505,0.865,0.7,0.515,0.7,25.0,33.0,39.0,47.0,0
14,203,2022-11-25,22200282,Final,1610612759,1610612747,2022,1610612759,94.0,0.38,0.75,0.182,21.0,50.0,1610612747,105.0,0.482,0.85,0.296,28.0,49.0,0,0,105.0,94.0,1,105.0,105.0,0.482,0.38,0.85,0.75,0.296,0.75,28.0,21.0,49.0,50.0,0
15,222,2022-11-22,22200259,Final,1610612756,1610612747,2022,1610612756,115.0,0.471,0.6,0.471,23.0,49.0,1610612747,105.0,0.424,0.829,0.182,19.0,45.0,1,0,105.0,115.0,0,105.0,105.0,0.424,0.471,0.829,0.6,0.182,0.6,19.0,23.0,45.0,49.0,1
16,238,2022-11-20,22200247,Final,1610612747,1610612759,2022,1610612747,123.0,0.529,0.875,0.353,29.0,54.0,1610612759,92.0,0.39,0.3,0.206,26.0,44.0,1,1,123.0,92.0,1,123.0,123.0,0.529,0.39,0.875,0.3,0.353,0.3,29.0,26.0,54.0,44.0,0
17,253,2022-11-18,22200234,Final,1610612747,1610612765,2022,1610612747,128.0,0.551,0.875,0.35,29.0,44.0,1610612765,121.0,0.467,0.75,0.324,27.0,37.0,1,1,128.0,121.0,1,128.0,128.0,0.551,0.467,0.875,0.75,0.35,0.75,29.0,27.0,44.0,37.0,0
18,285,2022-11-13,22200198,Final,1610612747,1610612751,2022,1610612747,116.0,0.484,0.85,0.407,25.0,45.0,1610612751,103.0,0.45,0.774,0.259,22.0,41.0,1,1,116.0,103.0,1,116.0,116.0,0.484,0.45,0.85,0.774,0.407,0.774,25.0,22.0,45.0,41.0,0
19,301,2022-11-11,22200183,Final,1610612747,1610612758,2022,1610612747,114.0,0.477,0.769,0.4,22.0,41.0,1610612758,120.0,0.517,0.857,0.333,27.0,40.0,0,1,114.0,120.0,0,114.0,114.0,0.477,0.517,0.769,0.857,0.4,0.857,22.0,27.0,41.0,40.0,1
20,317,2022-11-09,22200170,Final,1610612746,1610612747,2022,1610612746,114.0,0.506,0.769,0.364,24.0,41.0,1610612747,101.0,0.455,0.647,0.313,26.0,43.0,1,0,101.0,114.0,0,101.0,101.0,0.455,0.506,0.647,0.769,0.313,0.769,26.0,24.0,43.0,41.0,1
21,332,2022-11-07,22200157,Final,1610612762,1610612747,2022,1610612762,139.0,0.558,0.773,0.421,30.0,41.0,1610612747,116.0,0.488,0.9,0.375,15.0,33.0,1,0,116.0,139.0,0,116.0,116.0,0.488,0.558,0.9,0.773,0.375,0.773,15.0,30.0,33.0,41.0,1
22,334,2022-11-06,22200140,Final,1610612747,1610612739,2022,1610612747,100.0,0.46,0.571,0.296,24.0,43.0,1610612739,114.0,0.44,0.889,0.25,19.0,48.0,0,1,100.0,114.0,0,100.0,100.0,0.46,0.44,0.571,0.889,0.296,0.889,24.0,19.0,43.0,48.0,1
23,357,2022-11-04,22200131,Final,1610612747,1610612762,2022,1610612747,116.0,0.482,0.893,0.423,22.0,40.0,1610612762,130.0,0.505,0.9,0.425,31.0,48.0,0,1,116.0,130.0,0,116.0,116.0,0.482,0.505,0.893,0.9,0.423,0.9,22.0,31.0,40.0,48.0,1
24,370,2022-11-02,22200117,Final,1610612747,1610612740,2022,1610612747,120.0,0.459,0.87,0.278,30.0,56.0,1610612740,117.0,0.461,0.714,0.32,35.0,51.0,1,1,120.0,117.0,1,120.0,120.0,0.459,0.461,0.87,0.714,0.278,0.714,30.0,35.0,56.0,51.0,0
25,389,2022-10-30,22200095,Final,1610612747,1610612743,2022,1610612747,121.0,0.479,0.8,0.433,24.0,51.0,1610612743,110.0,0.427,0.722,0.375,24.0,48.0,1,1,121.0,110.0,1,121.0,121.0,0.479,0.427,0.8,0.722,0.433,0.722,24.0,24.0,51.0,48.0,0
26,403,2022-10-28,22200076,Final,1610612750,1610612747,2022,1610612750,111.0,0.414,0.667,0.325,27.0,49.0,1610612747,102.0,0.416,0.704,0.31,20.0,55.0,1,0,102.0,111.0,0,102.0,102.0,0.416,0.414,0.704,0.667,0.31,0.667,20.0,27.0,55.0,49.0,1
27,420,2022-10-26,22200064,Final,1610612743,1610612747,2022,1610612743,110.0,0.457,0.81,0.265,34.0,54.0,1610612747,99.0,0.444,0.688,0.267,25.0,47.0,1,0,99.0,110.0,0,99.0,99.0,0.444,0.457,0.688,0.81,0.267,0.81,25.0,34.0,47.0,54.0,1
28,434,2022-10-23,22200037,Final,1610612747,1610612757,2022,1610612747,104.0,0.446,0.8,0.182,26.0,40.0,1610612757,106.0,0.44,0.815,0.37,19.0,52.0,0,1,104.0,106.0,0,104.0,104.0,0.446,0.44,0.8,0.815,0.182,0.815,26.0,19.0,40.0,52.0,1
29,462,2022-10-20,22200016,Final,1610612747,1610612746,2022,1610612747,97.0,0.351,0.846,0.2,23.0,38.0,1610612746,103.0,0.463,0.645,0.31,18.0,58.0,0,1,97.0,103.0,0,97.0,97.0,0.351,0.463,0.846,0.645,0.2,0.645,23.0,18.0,38.0,58.0,1
30,476,2022-10-18,22200002,Final,1610612744,1610612747,2022,1610612744,123.0,0.455,0.739,0.356,31.0,48.0,1610612747,109.0,0.426,0.76,0.25,23.0,48.0,1,0,109.0,123.0,0,109.0,109.0,0.426,0.455,0.76,0.739,0.25,0.739,23.0,31.0,48.0,48.0,1
31,485,2022-10-14,12200070,Final,1610612758,1610612747,2022,1610612758,133.0,0.489,0.724,0.488,30.0,55.0,1610612747,86.0,0.358,0.645,0.242,18.0,37.0,1,0,86.0,133.0,0,86.0,86.0,0.358,0.489,0.645,0.724,0.242,0.724,18.0,30.0,37.0,55.0,1
32,493,2022-10-12,12200057,Final,1610612747,1610612750,2022,1610612747,113.0,0.446,0.784,0.256,26.0,52.0,1610612750,118.0,0.423,0.733,0.359,29.0,52.0,0,1,113.0,118.0,0,113.0,113.0,0.446,0.423,0.784,0.733,0.256,0.733,26.0,29.0,52.0,52.0,1
33,507,2022-10-09,12200040,Final,1610612744,1610612747,2022,1610612744,121.0,0.477,0.706,0.333,22.0,45.0,1610612747,124.0,0.5,0.944,0.436,24.0,38.0,0,0,124.0,121.0,1,124.0,124.0,0.5,0.477,0.944,0.706,0.436,0.706,24.0,22.0,38.0,45.0,0
34,521,2022-10-06,12200028,Final,1610612747,1610612750,2022,1610612747,99.0,0.34,0.733,0.224,23.0,54.0,1610612750,114.0,0.442,0.769,0.313,29.0,59.0,0,1,99.0,114.0,0,99.0,99.0,0.34,0.442,0.733,0.769,0.224,0.769,23.0,29.0,54.0,59.0,1
35,526,2022-10-05,12200022,Final,1610612747,1610612756,2022,1610612747,115.0,0.427,0.727,0.317,26.0,47.0,1610612756,119.0,0.371,0.848,0.317,21.0,55.0,0,1,115.0,119.0,0,115.0,115.0,0.427,0.371,0.727,0.848,0.317,0.848,26.0,21.0,47.0,55.0,1
36,534,2022-10-03,12200012,Final,1610612747,1610612758,2022,1610612747,75.0,0.312,0.625,0.233,17.0,49.0,1610612758,105.0,0.408,0.632,0.231,25.0,54.0,0,1,75.0,105.0,0,75.0,75.0,0.312,0.408,0.625,0.632,0.233,0.632,17.0,25.0,49.0,54.0,1
37,645,2022-04-10,22101220,Final,1610612743,1610612747,2021,1610612743,141.0,0.49,0.778,0.319,33.0,45.0,1610612747,146.0,0.468,0.894,0.372,26.0,50.0,0,0,146.0,141.0,1,146.0,146.0,0.468,0.49,0.894,0.778,0.372,0.778,26.0,33.0,50.0,45.0,0
38,662,2022-04-08,22101211,Final,1610612747,1610612760,2021,1610612747,120.0,0.5,0.744,0.29,23.0,45.0,1610612760,101.0,0.455,0.789,0.207,21.0,44.0,1,1,120.0,101.0,1,120.0,120.0,0.5,0.455,0.744,0.789,0.29,0.789,23.0,21.0,45.0,44.0,0
39,669,2022-04-07,22101202,Final,1610612744,1610612747,2021,1610612744,128.0,0.526,1.0,0.5,39.0,45.0,1610612747,112.0,0.446,0.763,0.281,14.0,42.0,1,0,112.0,128.0,0,112.0,112.0,0.446,0.526,0.763,1.0,0.281,1.0,14.0,39.0,42.0,45.0,1
40,687,2022-04-05,22101189,Final,1610612756,1610612747,2021,1610612756,121.0,0.49,0.778,0.359,38.0,53.0,1610612747,110.0,0.453,0.767,0.31,22.0,46.0,1,0,110.0,121.0,0,110.0,110.0,0.453,0.49,0.767,0.778,0.31,0.778,22.0,38.0,46.0,53.0,1
41,690,2022-04-03,22101168,Final,1610612747,1610612743,2021,1610612747,118.0,0.533,0.667,0.3,31.0,40.0,1610612743,129.0,0.573,0.793,0.387,33.0,38.0,0,1,118.0,129.0,0,118.0,118.0,0.533,0.573,0.667,0.793,0.3,0.793,31.0,33.0,40.0,38.0,1
42,714,2022-04-01,22101160,Final,1610612747,1610612740,2021,1610612747,111.0,0.476,0.71,0.407,24.0,40.0,1610612740,114.0,0.519,0.862,0.269,23.0,37.0,0,1,111.0,114.0,0,111.0,111.0,0.476,0.519,0.71,0.862,0.407,0.862,24.0,23.0,40.0,37.0,1
